questions,answers
[Pembeli ShopeeFood] Bagaimana cara membayar pesanan ShopeeFood menggunakan kartu kredit/debit?,"[Pembeli ShopeeFood] Bagaimana cara membayar pesanan ShopeeFood menggunakan kartu kredit/debit?Anda dapat membayar pesanan ShopeeFood menggunakan kartu kredit/debit, dengan memilih Pilihan Pembayaran pada halaman Konfirmasi Pesanan > pilih Kartu Kredit/Debit yang ingin digunakan > pilih Konfirmasi > pilih Pesan Sekarang > masukkan kode CVV > pilih Bayar.Jika Anda sudah pernah menambahkan kartu kredit/debit di akun Shopee Anda, maka Anda dapat menggunakan kartu tersebut untuk membayar pesanan ShopeeFood. Namun, jika Anda belum pernah menambahkan kartu kredit/debit, Anda dapat menambahkan kartu dengan memilih Pilihan Pembayaran pada halaman Konfirmasi Pesanan > pilih Kartu Kredit/Debit > pilih Tambahkan Kartu Kredit/Debit Baru > lengkapi Rincian Kartu dan Alamat Tagihan > pilih Kirimkan > pilih OK.⚠️CatatanAnda dapat menggunakan Voucher ShopeeFood untuk pembayaran dengan kartu kredit/debit, jika Anda sudah memenuhi Syarat dan Ketentuan Voucher tersebut.Tidak ada pilihan cicilan untuk pembayaran dengan kartu kredit/debit.Apakah artikel ini berguna?YaTidakArtikel Terkait[Pembeli ShopeeFood] Bagaimana cara membayar pesanan ShopeeFood menggunakan SPayLater?[Pembeli ShopeeFood] Bagaimana cara memesan ShopeeFood?"
[Pembeli ShopeeFood] Apa itu Biaya Layanan pada halaman checkout di ShopeeFood?,"[Pembeli ShopeeFood] Apa itu Biaya Layanan pada halaman checkout di ShopeeFood?Biaya Layanan adalah biaya yang diterapkan untuk memastikan kualitas layanan terbaik dari ShopeeFood untuk Anda. Anda dapat melihat Biaya Layanan pada saat checkout pesanan ShopeeFood.  Mohon untuk diperhatikan, Biaya Layanan ini dapat berbeda-beda untuk setiap Merchantnya. Biaya layanan sudah termasuk biaya Pajak Pertambahan Nilai (PPN) sesuai dengan ketentuan peraturan perundang-undangan di bidang perpajakan yang berlaku.Apakah artikel ini berguna?YaTidakArtikel Terkait[Pembeli ShopeeFood] Mengapa saya dikenakan biaya parkir?"
[Pembeli ShopeeFood] Mengapa saya dikenakan biaya parkir?,"[Pembeli ShopeeFood] Mengapa saya dikenakan biaya parkir?Anda akan dikenakan biaya parkir apabila melakukan pemesanan di Restoran/Toko/Merchant tertentu yang berada di dalam mall, perkantoran atau food court. Biaya parkir dapat Anda lihat pada bagian Biaya Lain-lain pada halaman Konfirmasi Pesanan.Apakah artikel ini berguna?YaTidakArtikel Terkait[Pembeli ShopeeFood] Apa itu Biaya Layanan pada halaman checkout di ShopeeFood?[Pembeli ShopeeFood] Bagaimana cara memesan ShopeeFood?"
[Pembeli ShopeeFood] Apa itu fitur Diskon Langsung?,[Pembeli ShopeeFood] Apa itu fitur Diskon Langsung?Diskon Langsung adalah fitur yang akan menampilkan potongan harga makanan secara langsung yang dapat digabungkan dengan penawaran diskon makanan lainnya.Cara menemukan Diskon Langsung: Halaman Utama RestoHalaman Promo PenawaranHalaman Konfirmasi Pesanan⚠️CatatanDiskon Langsung hanya dapat ditemukan di beberapa Resto tertentu.Syarat dan Ketentuan Diskon Langsung yang berlaku dapat berbeda di setiap Resto.Apakah artikel ini berguna?YaTidak
[Pembeli ShopeeFood] Bagaimana jika saya mengalami kendala pada pengiriman ShopeeFood?,"[Pembeli ShopeeFood] Bagaimana jika saya mengalami kendala pada pengiriman ShopeeFood?Jika Anda mengalami kendala pada pengiriman pesanan ShopeeFood, berikut beberapa solusi yang dapat dilakukan:  Mitra Pengemudi Shopee terlalu lama atau tidak bisa dihubungiKeterlambatan pengantaran pesanan dapat terjadi karena: Banyaknya jumlah pesanan yang dipesan pada Restoran/Toko/Merchant terkait sehingga dapat membutuhkan lebih dari estimasi waktu 20 menit untuk persiapan setiap pesanan.Kondisi lalu lintas dan cuaca yang memperlambat proses pengantaran. Jika pesanan tidak kunjung datang, Anda dapat menghubungi Mitra Pengemudi Shopee melalui Live Chat di aplikasi Shopee/ShopeePay. Namun apabila Mitra Pengemudi Shopee tidak dapat dihubungi, Anda dapat menghubungi Customer Service Shopee.   ⚠️CatatanShopeeFood terus berupaya memastikan Mitra Pengemudi Shopee mengantar pesanan Anda dengan tepat waktu. Pelajari lebih lanjut mengenai cara melihat status pesanan dan lokasi Mitra Pengemudi Shopee dan pembatalan pesanan ShopeeFood.  Belum menerima pesanan namun sudah diselesaikan Mitra Pengemudi Shopee Silakan pilih tombol Ajukan Pengembalian melalui halaman pesanan di aplikasi Shopee/ShopeePay dan laporkan kendala pada pesanan ShopeeFood atau hubungi Customer Service Shopee melalui Live Chat atau Telepon di Pusat Bantuan.   Mitra Pengemudi Shopee berbeda dengan yang di aplikasi ShopeeFood selalu memastikan data Mitra Pengemudi Shopee sama dengan yang tertera pada aplikasi. Mitra Pengemudi Shopee hanya boleh menggunakan kendaraan yang sesuai dan tidak bisa memindahtangankan akun tersebut ke orang lain.   Namun, apabila Anda menemukan perbedaan antara Mitra Pengemudi Shopee yang mengantar pesanan dengan yang tertera di aplikasi, silakan hubungi Customer Service Shopee melalui Live Chat di aplikasi Shopee/ShopeePay.   Pesanan saya ditugaskan kepada 2 (dua) Mitra Pengemudi Shopee yang berbeda Jika pesanan Anda ditugaskan kepada 2 (dua) Mitra Pengemudi Shopee yang berbeda, segera hubungi Customer Service Shopee melalui Live Chat di aplikasi Shopee/ShopeePay dengan melampirkan data:Nama Driver. Nama Restoran/Toko/Merchant.Nomor Pemesanan.Waktu Pemesanan. Saya tidak mendapatkan Mitra Pengemudi Shopee Beberapa faktor yang menyebabkan Anda tidak mendapatkan Mitra Pengemudi Shopee saat melakukan pemesanan adalah:Tingginya permintaan dari Pembeli, namun jumlah Mitra Pengemudi Shopee yang aktif sedang rendah. Belum ada Mitra Pengemudi Shopee di sekitar Merchant yang dipilih.Cuaca buruk. Silakan menunggu hingga 15 menit. Jika dalam waktu 15 menit masih belum mendapatkan Mitra Pengemudi Shopee, maka secara otomatis sistem akan melakukan pembatalan dan pengembalian dana ke saldo ShopeePay (khusus pembayaran non-tunai). Apakah artikel ini berguna?YaTidakArtikel Terkait[Pembeli ShopeeFood] Bagaimana cara melihat status pesanan dan lokasi Driver ShopeeFood?[Pembeli ShopeeFood] Bagaimana cara membatalkan pesanan ShopeeFood?"
[Pembeli ShopeeFood] Bagaimana cara memberikan penilaian kepada Merchant atau tip kepada Mitra Pengemudi ShopeeFood?,"[Pembeli ShopeeFood] Bagaimana cara memberikan penilaian kepada Merchant atau tip kepada Mitra Pengemudi ShopeeFood?Anda dapat memberikan penilaian kepada Merchant atau Mitra Pengemudi Shopee maks. 7 (tujuh) hari setelah melakukan pemesanan. Berikut langkah-langkah untuk memberikan penilaian:   Pada halaman Riwayat, pilih pesanan yang ingin dinilai > pilih Beri Penilaian > pilih bintang yang sesuai untuk menilai Mitra Pengemudi Shopee > berikan nilai dan ulasan untuk restoran > pilih Kirim. Memberikan penilaian terhadap Mitra Pengemudi ShopeeAnda dapat memberikan penilaian, tip, pujian, dan juga komentar terhadap Mitra Pengemudi Shopee. Memberikan penilaian terhadap Merchant ShopeeFoodAnda dapat memberikan penilaian untuk restoran, pujian, foto makanan, dan penilaian untuk setiap menu makanan Anda.Setelah Anda mengirimkan penilaian, penilaian akan ditampilkan di halaman Penilaian Restoran dan dapat dilihat oleh Pelanggan lain. Pilih Penilaian untuk melihat penilaian Anda dan Pelanggan lainnya.⚠️CatatanAnda hanya dapat memberikan penilaian sebanyak 1 (satu) kali per pesanan kepada Merchant atau Mitra Pengemudi Shopee. Penilaian yang sudah dikirimkan tidak dapat diubah kembali.Saat memberikan penilaian, Anda dapat memilih untuk memberikan ulasan secara anonim.ShopeeFood berhak untuk menyetujui atau menolak penilaian Anda. Jika penilaian yang Anda berikan tidak sesuai dengan ketentuan ShopeeFood, maka penilaian Anda tidak akan muncul di aplikasi Shopee/ShopeePay.ShopeeFood berhak untuk melakukan verifikasi dan menghapus penilaian yang tidak sesuai.Apakah artikel ini berguna?YaTidakArtikel Terkait[Pembeli ShopeeFood] Mengapa saya dikenakan biaya parkir?"
[Pembeli ShopeeFood] Bagaimana cara melihat penilaian Merchant ShopeeFood?,"[Pembeli ShopeeFood] Bagaimana cara melihat penilaian Merchant ShopeeFood?Anda bisa melihat penilaian Merchant ShopeeFood pada halaman restoran > pilih Penilaian. Anda bisa melihat penilaian Merchant dan penilaian dari Pembeli lainnya.Penilaian Anda terhadap Merchant ShopeeFood akan dihapus apabila melanggar Syarat & Ketentuan berikut:Menggunakan bahasa atau foto yang mengandung unsur pornografi.Menggunakan bahasa atau foto yang tidak pantas, menyinggung atau provokatif.Menggunakan bahasa atau foto yang mengandung unsur SARA (Suku, Agama, Ras, dan Antargolongan).Menggunakan bahasa atau foto yang tidak relevan dengan pelayanan ShopeeFood.Meng-upload foto kosong atau foto yang tidak relevan dengan produk.Menggunakan emoji atau teks yang berlebihan sehingga melebihi batas jumlah kata.Menggunakan kata yang sama secara berulang-ulang (spam kata).Menggunakan karakter yang sama secara berulang-ulang (spam karakter).Penilaian mengandung iklan di luar Shopee dalam bentuk apapun, seperti iklan promosi, layanan masyarakat, komersial, mengandung agama tertentu, dll.Menggunakan foto orang lain atau yang terdapat watermark dan di-post tanpa izin. Mohon berikan penilaian yang jujur untuk membantu Pembeli lainnya menentukan pembelian dan menemukan informasi tambahan terkait produk ShopeeFood tersebut. ⚠️CatatanJika Anda melihat penilaian yang kurang pantas, Anda bisa melaporkan penilaian tersebut di aplikasi Shopee/ShopeePay.Apakah artikel ini berguna?YaTidakArtikel Terkait[Pembeli ShopeeFood] Bagaimana cara memberikan penilaian kepada Merchant atau tip kepada Mitra Pengemudi ShopeeFood?[Pembeli ShopeeFood] Bagaimana cara memesan ShopeeFood?[Pembeli ShopeeFood] Bagaimana jika saya mengalami kendala saat membuat pesanan ShopeeFood?"
[Pembeli ShopeeFood] Bagaimana jika saya mengalami kendala saat membuat pesanan ShopeeFood?,"[Pembeli ShopeeFood] Bagaimana jika saya mengalami kendala saat membuat pesanan ShopeeFood?Jika Anda mengalami kendala di bawah ini saat membuat pesanan ShopeeFood, solusi yang dapat dilakukan antara lain: KendalaSolusiTidak bisa memuat halaman aplikasi, membuat pesanan, atau melakukan pembayaran (ditolak/gagal) menggunakan metode pembayaran COD/ShopeePay/SPayLaterMohon untuk memastikan: 1. Koneksi internet Anda dalam kondisi stabil. Silakan hidupkan dan matikan mode pesawat di handphone Anda untuk mengatur ulang koneksi. 2. Apabila Anda menggunakan Wi-Fi, restart modem atau router Anda untuk memperbarui koneksi internet, kemudian restart handphone Anda dan coba kembali. 3. Apabila Anda mendapatkan keterangan “Pembayaran tunai sedang tidak tersedia”, silakan lakukan pembelian menggunakan metode pembayaran lainnya.Tidak bisa menggunakan kode VoucherPastikan Anda telah memenuhi Syarat & Ketentuan yang berlaku dan kode Voucher belum pernah digunakan sebelumnya.  Pastikan Anda telah memenuhi Syarat & Ketentuan yang berlaku dan kode Voucher belum pernah digunakan sebelumnya.  Apabila Anda telah mengikuti Syarat & Ketentuan, namun masih tidak dapat menggunakan voucher. Mohon pastikan hal berikut: 1. Pastikan aplikasi Shopee/ShopeePay sudah menggunakan versi terbaru. 2. Pastikan GPS telah diaktifkan. 3. Pastikan voucher yang digunakan sesuai dengan produk dari Merchant yang ingin dibeli. Menerima tagihan pesanan berbeda dengan aplikasi Shopee/ShopeePayMohon untuk melakukan pengecekan kembali struk yang diberikan oleh Mitra Pengemudi. Silakan hubungi Customer Service melalui Live Chat apabila: 1. Harga di struk Merchant lebih mahal dari harga yang tertera pada aplikasi Shopee/ShopeePay. 2. Total harga di struk Merchant sudah sesuai dengan harga pada aplikasi Shopee/ShopeePay, namun Mitra Pengemudi ShopeeFood menagih Anda dengan nominal yang lebih mahal dengan alasan yang kurang jelas atau tidak ada konfirmasi sebelumnya. Melakukan pembayaran 2 (dua) kaliSilakan pilih tombol Ajukan Pengembalian melalui halaman pesanan di aplikasi Shopee/ShopeePay dan mengikuti cara melaporkan kendala pada pesanan ShopeeFood. Pastikan Anda memilih metode pembayaran yang sesuai untuk menghindari kendala serupa.Lupa membayar pesanan/nominal yang dibayarkan kurang kepada Mitra Pengemudi ShopeeFoodSilakan hubungi Customer Service Shopee melaui Live Chat dengan melampirkan data: 1. Nama Mitra Pengemudi ShopeeFood2. Nama Restoran/Toko/Merchant3. Nomor Pemesanan4. Waktu PemesananMuncul notifikasi terkait kejanggalan aktivitas akunPastikan Anda mematuhi kebijakan Shopee. Akun Anda akan dibatasi jika terdeteksi terlibat dalam aktivitas mencurigakan yang melanggar Syarat & Ketentuan Shopee. Jika akun Anda sedang dibatasi, Anda tidak dapat membuat pesanan ataupun melakukan pembayaran. Anda akan melihat pesan pop-up saat checkout yang menginformasikan Anda mengenai hal ini. Pelajari lebih lanjut tentang mengapa akun dibatasi dan bagaimana cara mengajukan banding. ⚠️CatatanPastikan aplikasi sudah di-update menggunakan versi aplikasi terbaru dan pastikan GPS dalam keadaan aktif.Apabila setelah mengikuti langkah-langkah tersebut Anda masih terkendala, pelajari lebih lanjut mengenai solusi untuk kendala pada aplikasi atau Anda dapat menghubungi Customer Service melalui Live Chat dengan melampirkan screenshot kendala yang dialami.Apakah artikel ini berguna?YaTidakArtikel Terkait[Pembeli ShopeeFood] Bagaimana cara mengajukan pengembalian dana pada pesanan ShopeeFood?[Akun Saya] Mengapa akun saya dibatasi?"
[Pembeli ShopeeFood] Bagaimana cara mengklaim dan menggunakan Voucher ShopeeFood?,"[Pembeli ShopeeFood] Bagaimana cara mengklaim dan menggunakan Voucher ShopeeFood?Anda dapat mengklaim Voucher ShopeeFood melalui 2 (dua) cara, yaitu: Melalui halaman restoranPilih ShopeeFood > pilih restoran yang ingin dipesan > pilih Lihat Lainnya untuk melihat Voucher yang tersedia > pilih Klaim pada Voucher yang diinginkan. Melalui banner promoPilih ShopeeFood > pilih Banner Promo > pilih Klaim pada voucher yang diinginkan. Setelah Voucher berhasil diklaim, Anda dapat menggunakannya dalam pesanan. Anda dapat memilih menu makanan yang ingin dipesan > pilih Checkout > pilih Voucher > pastikan bahwa Anda memenuhi Syarat & Ketentuan Voucher tersebut > pilih Pesan Sekarang.⚠️CatatanJika Anda tidak bisa menggunakan Voucher, mohon cek kembali Syarat & Ketentuan Voucher dengan detail order Anda (Makanan, metode pembayaran (COD/ShopeePay/SpayLater), minimum pemesanan, dll.)Pelajari lebih lanjut mengenai solusi yang dapat dilakukan jika Anda mengalami kendala saat menggunakan voucher ShopeeFood.Apakah artikel ini berguna?YaTidakArtikel Terkait[Pembeli ShopeeFood] Bagaimana cara memesan ShopeeFood?[Pembeli ShopeeFood] Bagaimana cara membayar pesanan ShopeeFood menggunakan SPayLater?"
[Pembeli ShopeeFood] Bagaimana cara membayar pesanan ShopeeFood menggunakan SPayLater?,"[Pembeli ShopeeFood] Bagaimana cara membayar pesanan ShopeeFood menggunakan SPayLater?Untuk membayar pesanan ShopeeFood menggunakan SPayLater, pilih Pilihan Pembayaran > pilih SPayLater > pilih metode yang diinginkan (Beli Sekarang, Bayar Nanti atau Cicilan 3x) > pilih Konfirmasi > pilih Buat Pesanan Antar > masukkan PIN ShopeePay.Pastikan Anda memiliki akun SPayLater yang aktif dan limit yang cukup untuk dapat menggunakan SPayLater. ⚠️CatatanLimit SPayLater Anda akan berkurang secara otomatis ketika pembayaran berhasil terverifikasi. Tagihan SPaylater akan muncul pada riwayat transaksi setelah pesanan selesai. Pengunaan SPayLater akan dikenakan biaya cicilan (suku bunga) sebesar 2.95% untuk metode Beli Sekarang, Bayar Nanti dan Cicilan 3x.Anda tetap bisa menggunakan Voucher ShopeeFood jika sudah memenuhi Syarat dan Ketentuan Voucher. SPayLater merupakan produk layanan pinjaman yang disediakan oleh PT Commerce Finance serta pihak lain yang bekerja sama dengan PT Commerce Finance untuk memberikan pinjaman bagi Pengguna. PT Commerce Finance diawasi langsung oleh OJK (Otoritas Jasa Keuangan).Apakah artikel ini berguna?YaTidakArtikel Terkait[Pembeli ShopeeFood] Bagaimana cara memesan ShopeeFood?"
[Pembeli ShopeeFood] Bagaimana cara membayar pesanan ShopeeFood menggunakan kartu kredit/debit?,"[Pembeli ShopeeFood] Bagaimana cara membayar pesanan ShopeeFood menggunakan kartu kredit/debit?Anda dapat membayar pesanan ShopeeFood menggunakan kartu kredit/debit, dengan memilih Pilihan Pembayaran pada halaman Konfirmasi Pesanan > pilih Kartu Kredit/Debit yang ingin digunakan > pilih Konfirmasi > pilih Pesan Sekarang > masukkan kode CVV > pilih Bayar.Jika Anda sudah pernah menambahkan kartu kredit/debit di akun Shopee Anda, maka Anda dapat menggunakan kartu tersebut untuk membayar pesanan ShopeeFood. Namun, jika Anda belum pernah menambahkan kartu kredit/debit, Anda dapat menambahkan kartu dengan memilih Pilihan Pembayaran pada halaman Konfirmasi Pesanan > pilih Kartu Kredit/Debit > pilih Tambahkan Kartu Kredit/Debit Baru > lengkapi Rincian Kartu dan Alamat Tagihan > pilih Kirimkan > pilih OK.⚠️CatatanAnda dapat menggunakan Voucher ShopeeFood untuk pembayaran dengan kartu kredit/debit, jika Anda sudah memenuhi Syarat dan Ketentuan Voucher tersebut.Tidak ada pilihan cicilan untuk pembayaran dengan kartu kredit/debit.Apakah artikel ini berguna?YaTidakArtikel Terkait[Pembeli ShopeeFood] Bagaimana cara membayar pesanan ShopeeFood menggunakan SPayLater?[Pembeli ShopeeFood] Bagaimana cara memesan ShopeeFood?"
[Pembeli ShopeeFood] Apa itu Biaya Layanan pada halaman checkout di ShopeeFood?,"[Pembeli ShopeeFood] Apa itu Biaya Layanan pada halaman checkout di ShopeeFood?Biaya Layanan adalah biaya yang diterapkan untuk memastikan kualitas layanan terbaik dari ShopeeFood untuk Anda. Anda dapat melihat Biaya Layanan pada saat checkout pesanan ShopeeFood.  Mohon untuk diperhatikan, Biaya Layanan ini dapat berbeda-beda untuk setiap Merchantnya. Biaya layanan sudah termasuk biaya Pajak Pertambahan Nilai (PPN) sesuai dengan ketentuan peraturan perundang-undangan di bidang perpajakan yang berlaku.Apakah artikel ini berguna?YaTidakArtikel Terkait[Pembeli ShopeeFood] Mengapa saya dikenakan biaya parkir?"
[Pembeli ShopeeFood] Mengapa saya dikenakan biaya parkir?,"[Pembeli ShopeeFood] Mengapa saya dikenakan biaya parkir?Anda akan dikenakan biaya parkir apabila melakukan pemesanan di Restoran/Toko/Merchant tertentu yang berada di dalam mall, perkantoran atau food court. Biaya parkir dapat Anda lihat pada bagian Biaya Lain-lain pada halaman Konfirmasi Pesanan.Apakah artikel ini berguna?YaTidakArtikel Terkait[Pembeli ShopeeFood] Apa itu Biaya Layanan pada halaman checkout di ShopeeFood?[Pembeli ShopeeFood] Bagaimana cara memesan ShopeeFood?"
[Pembeli ShopeeFood] Apa itu fitur Diskon Langsung?,[Pembeli ShopeeFood] Apa itu fitur Diskon Langsung?Diskon Langsung adalah fitur yang akan menampilkan potongan harga makanan secara langsung yang dapat digabungkan dengan penawaran diskon makanan lainnya.Cara menemukan Diskon Langsung: Halaman Utama RestoHalaman Promo PenawaranHalaman Konfirmasi Pesanan⚠️CatatanDiskon Langsung hanya dapat ditemukan di beberapa Resto tertentu.Syarat dan Ketentuan Diskon Langsung yang berlaku dapat berbeda di setiap Resto.Apakah artikel ini berguna?YaTidak
[Pembeli ShopeeFood] Bagaimana jika saya mengalami kendala pada pengiriman ShopeeFood?,"[Pembeli ShopeeFood] Bagaimana jika saya mengalami kendala pada pengiriman ShopeeFood?Jika Anda mengalami kendala pada pengiriman pesanan ShopeeFood, berikut beberapa solusi yang dapat dilakukan:  Mitra Pengemudi Shopee terlalu lama atau tidak bisa dihubungiKeterlambatan pengantaran pesanan dapat terjadi karena: Banyaknya jumlah pesanan yang dipesan pada Restoran/Toko/Merchant terkait sehingga dapat membutuhkan lebih dari estimasi waktu 20 menit untuk persiapan setiap pesanan.Kondisi lalu lintas dan cuaca yang memperlambat proses pengantaran. Jika pesanan tidak kunjung datang, Anda dapat menghubungi Mitra Pengemudi Shopee melalui Live Chat di aplikasi Shopee/ShopeePay. Namun apabila Mitra Pengemudi Shopee tidak dapat dihubungi, Anda dapat menghubungi Customer Service Shopee.   ⚠️CatatanShopeeFood terus berupaya memastikan Mitra Pengemudi Shopee mengantar pesanan Anda dengan tepat waktu. Pelajari lebih lanjut mengenai cara melihat status pesanan dan lokasi Mitra Pengemudi Shopee dan pembatalan pesanan ShopeeFood.  Belum menerima pesanan namun sudah diselesaikan Mitra Pengemudi Shopee Silakan pilih tombol Ajukan Pengembalian melalui halaman pesanan di aplikasi Shopee/ShopeePay dan laporkan kendala pada pesanan ShopeeFood atau hubungi Customer Service Shopee melalui Live Chat atau Telepon di Pusat Bantuan.   Mitra Pengemudi Shopee berbeda dengan yang di aplikasi ShopeeFood selalu memastikan data Mitra Pengemudi Shopee sama dengan yang tertera pada aplikasi. Mitra Pengemudi Shopee hanya boleh menggunakan kendaraan yang sesuai dan tidak bisa memindahtangankan akun tersebut ke orang lain.   Namun, apabila Anda menemukan perbedaan antara Mitra Pengemudi Shopee yang mengantar pesanan dengan yang tertera di aplikasi, silakan hubungi Customer Service Shopee melalui Live Chat di aplikasi Shopee/ShopeePay.   Pesanan saya ditugaskan kepada 2 (dua) Mitra Pengemudi Shopee yang berbeda Jika pesanan Anda ditugaskan kepada 2 (dua) Mitra Pengemudi Shopee yang berbeda, segera hubungi Customer Service Shopee melalui Live Chat di aplikasi Shopee/ShopeePay dengan melampirkan data:Nama Driver. Nama Restoran/Toko/Merchant.Nomor Pemesanan.Waktu Pemesanan. Saya tidak mendapatkan Mitra Pengemudi Shopee Beberapa faktor yang menyebabkan Anda tidak mendapatkan Mitra Pengemudi Shopee saat melakukan pemesanan adalah:Tingginya permintaan dari Pembeli, namun jumlah Mitra Pengemudi Shopee yang aktif sedang rendah. Belum ada Mitra Pengemudi Shopee di sekitar Merchant yang dipilih.Cuaca buruk. Silakan menunggu hingga 15 menit. Jika dalam waktu 15 menit masih belum mendapatkan Mitra Pengemudi Shopee, maka secara otomatis sistem akan melakukan pembatalan dan pengembalian dana ke saldo ShopeePay (khusus pembayaran non-tunai). Apakah artikel ini berguna?YaTidakArtikel Terkait[Pembeli ShopeeFood] Bagaimana cara melihat status pesanan dan lokasi Driver ShopeeFood?[Pembeli ShopeeFood] Bagaimana cara membatalkan pesanan ShopeeFood?"
[Pembeli ShopeeFood] Bagaimana cara memberikan penilaian kepada Merchant atau tip kepada Mitra Pengemudi ShopeeFood?,"[Pembeli ShopeeFood] Bagaimana cara memberikan penilaian kepada Merchant atau tip kepada Mitra Pengemudi ShopeeFood?Anda dapat memberikan penilaian kepada Merchant atau Mitra Pengemudi Shopee maks. 7 (tujuh) hari setelah melakukan pemesanan. Berikut langkah-langkah untuk memberikan penilaian:   Pada halaman Riwayat, pilih pesanan yang ingin dinilai > pilih Beri Penilaian > pilih bintang yang sesuai untuk menilai Mitra Pengemudi Shopee > berikan nilai dan ulasan untuk restoran > pilih Kirim. Memberikan penilaian terhadap Mitra Pengemudi ShopeeAnda dapat memberikan penilaian, tip, pujian, dan juga komentar terhadap Mitra Pengemudi Shopee. Memberikan penilaian terhadap Merchant ShopeeFoodAnda dapat memberikan penilaian untuk restoran, pujian, foto makanan, dan penilaian untuk setiap menu makanan Anda.Setelah Anda mengirimkan penilaian, penilaian akan ditampilkan di halaman Penilaian Restoran dan dapat dilihat oleh Pelanggan lain. Pilih Penilaian untuk melihat penilaian Anda dan Pelanggan lainnya.⚠️CatatanAnda hanya dapat memberikan penilaian sebanyak 1 (satu) kali per pesanan kepada Merchant atau Mitra Pengemudi Shopee. Penilaian yang sudah dikirimkan tidak dapat diubah kembali.Saat memberikan penilaian, Anda dapat memilih untuk memberikan ulasan secara anonim.ShopeeFood berhak untuk menyetujui atau menolak penilaian Anda. Jika penilaian yang Anda berikan tidak sesuai dengan ketentuan ShopeeFood, maka penilaian Anda tidak akan muncul di aplikasi Shopee/ShopeePay.ShopeeFood berhak untuk melakukan verifikasi dan menghapus penilaian yang tidak sesuai.Apakah artikel ini berguna?YaTidakArtikel Terkait[Pembeli ShopeeFood] Mengapa saya dikenakan biaya parkir?"
[Pembeli ShopeeFood] Bagaimana cara melihat penilaian Merchant ShopeeFood?,"[Pembeli ShopeeFood] Bagaimana cara melihat penilaian Merchant ShopeeFood?Anda bisa melihat penilaian Merchant ShopeeFood pada halaman restoran > pilih Penilaian. Anda bisa melihat penilaian Merchant dan penilaian dari Pembeli lainnya.Penilaian Anda terhadap Merchant ShopeeFood akan dihapus apabila melanggar Syarat & Ketentuan berikut:Menggunakan bahasa atau foto yang mengandung unsur pornografi.Menggunakan bahasa atau foto yang tidak pantas, menyinggung atau provokatif.Menggunakan bahasa atau foto yang mengandung unsur SARA (Suku, Agama, Ras, dan Antargolongan).Menggunakan bahasa atau foto yang tidak relevan dengan pelayanan ShopeeFood.Meng-upload foto kosong atau foto yang tidak relevan dengan produk.Menggunakan emoji atau teks yang berlebihan sehingga melebihi batas jumlah kata.Menggunakan kata yang sama secara berulang-ulang (spam kata).Menggunakan karakter yang sama secara berulang-ulang (spam karakter).Penilaian mengandung iklan di luar Shopee dalam bentuk apapun, seperti iklan promosi, layanan masyarakat, komersial, mengandung agama tertentu, dll.Menggunakan foto orang lain atau yang terdapat watermark dan di-post tanpa izin. Mohon berikan penilaian yang jujur untuk membantu Pembeli lainnya menentukan pembelian dan menemukan informasi tambahan terkait produk ShopeeFood tersebut. ⚠️CatatanJika Anda melihat penilaian yang kurang pantas, Anda bisa melaporkan penilaian tersebut di aplikasi Shopee/ShopeePay.Apakah artikel ini berguna?YaTidakArtikel Terkait[Pembeli ShopeeFood] Bagaimana cara memberikan penilaian kepada Merchant atau tip kepada Mitra Pengemudi ShopeeFood?[Pembeli ShopeeFood] Bagaimana cara memesan ShopeeFood?[Pembeli ShopeeFood] Bagaimana jika saya mengalami kendala saat membuat pesanan ShopeeFood?"
